IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,IP_SRC_ADDR,IP_DST_ADDR,PROTOCOL,L4_SRC_PORT,L4_DST_PORT,TOS,DST_TOS,TCP_FLAGS,start_time,end_time,src_region,dst_region,src_group,dst_group,area,FLOW_SAMPLER_ID,user_scope
268000,2000,0,0,113.200.60.74,101.200.242.144,6,54385,22,0,0,24,2024-07-23 19:57:01,2024-07-23 19:57:01,610000,0,3,99,610000,,1
120000,2000,0,0,101.200.242.144,23.206.28.166,6,60584,443,0,0,16,2024-07-23 16:50:06,2024-07-23 16:50:06,0,0,99,99,110000,,1
180000,3000,0,0,101.200.242.144,172.104.40.174,6,27281,43882,0,0,20,2024-07-23 05:33:48,2024-07-23 05:33:48,0,0,99,99,110000,,1
908000,2000,0,0,101.200.242.144,68.183.85.57,6,22,37614,0,0,24,2024-07-23 19:58:36,2024-07-23 19:58:36,0,0,99,99,110000,,1
180000,3000,0,0,101.200.242.144,202.89.233.96,6,52469,443,0,0,16,2024-07-23 14:09:37,2024-07-23 14:09:37,0,0,99,99,110000,,1
198000,3000,0,0,101.200.242.144,43.134.92.252,6,22,55246,0,0,16,2024-07-23 00:47:38,2024-07-23 00:47:38,0,0,99,99,110000,,1
180000,3000,0,0,101.200.242.144,139.162.13.33,6,24723,58377,0,0,20,2024-07-23 10:03:18,2024-07-23 10:03:18,0,0,99,99,110000,,1
132000,2000,0,0,49.207.4.65,101.200.242.144,6,55070,22,0,0,16,2024-07-23 19:56:04,2024-07-23 19:56:04,0,0,99,99,,,1
120000,2000,0,0,101.200.242.144,35.203.210.254,6,9043,50852,0,0,20,2024-07-23 07:32:45,2024-07-23 07:32:45,0,0,99,99,110000,,1
132000,2000,0,0,101.200.242.144,210.99.223.203,6,22,39200,0,0,16,2024-07-23 01:25:11,2024-07-23 01:25:11,0,0,99,99,110000,,1
290000,2000,0,0,34.240.117.4,101.200.242.144,6,443,56349,0,0,24,2024-07-23 20:36:39,2024-07-23 20:36:39,0,0,99,99,,,1
4062000,3000,0,0,122.14.62.91,101.200.242.144,6,443,60965,0,0,16,2024-07-23 17:39:44,2024-07-23 17:39:44,110000,0,3,99,110000,,1
